numeroPedido,clienteId,fechaEntrega,estado,zonaEntrega,requiereRefrigeracion
P099,CLI-210,2026-01-24,PENDIENTE,ZONA26,false
P100,CLI-468,2026-02-19,CONFIRMADO,ZONA28,false
P101,CLI-321,2026-01-25,PENDIENTE,ZONA15,true
P102,CLI-341,2026-02-18,PENDIENTE,ZONA27,false
P103,CLI-460,2026-02-26,PENDIENTE,ZONA7,false
P104,CLI-020,2026-02-10,CONFIRMADO,ZONA2,true
P105,CLI-264,2026-02-08,ENTREGADO,ZONA15,false
P106,CLI-202,2026-01-27,PENDIENTE,ZONA26,true
P107,CLI-134,2026-02-07,ENTREGADO,ZONA3,false
P108,CLI-373,2026-01-28,CONFIRMADO,ZONA3,false
P109,CLI-454,2026-02-18,CONFIRMADO,ZONA6,false
P110,CLI-220,2026-02-13,ENTREGADO,ZONA15,false
P111,CLI-011,2026-01-22,CONFIRMADO,ZONA8,false
P112,CLI-372,2026-02-16,CONFIRMADO,ZONA19,false
P113,CLI-253,2026-02-06,CONFIRMADO,ZONA24,true
P114,CLI-403,2026-01-26,CONFIRMADO,ZONA11,false
P115,CLI-266,2026-02-04,CONFIRMADO,ZONA29,true
P116,CLI-346,2026-02-04,ENTREGADO,ZONA11,false
P117,CLI-440,2026-01-29,CONFIRMADO,ZONA24,false
P118,CLI-466,2026-02-01,CONFIRMADO,ZONA20,false
P119,CLI-499,2026-02-02,PENDIENTE,ZONA17,false
P120,CLI-062,2026-02-27,ENTREGADO,ZONA25,false
P121,CLI-265,2026-02-11,CONFIRMADO,ZONA12,true
P122,CLI-246,2026-02-12,CONFIRMADO,ZONA4,false
P123,CLI-177,2026-01-25,ENTREGADO,ZONA5,true
P124,CLI-031,2026-01-27,ENTREGADO,ZONA22,false
P125,CLI-264,2026-02-19,ENTREGADO,ZONA13,true
P126,CLI-101,2026-01-21,PENDIENTE,ZONA21,true
P127,CLI-149,2026-02-15,PENDIENTE,ZONA30,false
P128,CLI-252,2026-02-16,CONFIRMADO,ZONA8,false
P129,CLI-354,2026-02-22,PENDIENTE,ZONA6,true
P130,CLI-321,2026-01-23,ENTREGADO,ZONA18,false
P131,CLI-364,2026-02-16,PENDIENTE,ZONA30,true
P132,CLI-144,2026-02-03,CONFIRMADO,ZONA13,false
P133,CLI-110,2026-01-26,PENDIENTE,ZONA28,false
P134,CLI-276,2026-02-22,ENTREGADO,ZONA21,false
P135,CLI-214,2026-02-08,CONFIRMADO,ZONA16,false
P136,CLI-404,2026-01-21,ENTREGADO,ZONA21,false
P137,CLI-072,2026-02-09,ENTREGADO,ZONA30,false
P138,CLI-289,2026-02-06,PENDIENTE,ZONA28,false
P139,CLI-234,2026-02-27,CONFIRMADO,ZONA14,true
P140,CLI-094,2026-02-27,CONFIRMADO,ZONA24,false
P141,CLI-407,2026-01-31,PENDIENTE,ZONA15,false
P142,CLI-170,2026-02-20,PENDIENTE,ZONA2,true
P143,CLI-152,2026-02-06,PENDIENTE,ZONA6,false
P144,CLI-077,2026-02-19,ENTREGADO,ZONA10,false
P145,CLI-316,2026-02-28,CONFIRMADO,ZONA24,false
P146,CLI-255,2026-02-18,ENTREGADO,ZONA11,false
P147,CLI-115,2026-02-24,CONFIRMADO,ZONA7,true
P148,CLI-349,2026-03-01,ENTREGADO,ZONA29,true
P149,CLI-348,2026-01-23,PENDIENTE,ZONA6,true
P150,CLI-143,2026-02-25,PENDIENTE,ZONA21,false
P151,CLI-212,2026-02-13,CONFIRMADO,ZONA28,true
P152,CLI-357,2026-02-10,CONFIRMADO,ZONA16,false
P153,CLI-359,2026-02-16,PENDIENTE,ZONA20,false
P154,CLI-246,2026-01-29,PENDIENTE,ZONA22,false
P155,CLI-161,2026-01-24,PENDIENTE,ZONA2,false
P156,CLI-455,2026-02-20,ENTREGADO,ZONA28,false
P157,CLI-050,2026-02-01,PENDIENTE,ZONA9,true
P158,CLI-073,2026-02-19,PENDIENTE,ZONA25,false
P159,CLI-075,2026-02-03,PENDIENTE,ZONA5,true
P160,CLI-360,2026-02-02,PENDIENTE,ZONA29,false
P161,CLI-072,2026-02-09,PENDIENTE,ZONA28,true
P162,CLI-195,2026-02-12,CONFIRMADO,ZONA23,true
P163,CLI-465,2026-03-01,CONFIRMADO,ZONA23,false
P164,CLI-369,2026-02-17,CONFIRMADO,ZONA15,false
P165,CLI-370,2026-02-03,CONFIRMADO,ZONA25,false
P166,CLI-400,2026-01-28,PENDIENTE,ZONA6,false
P167,CLI-076,2026-02-18,CONFIRMADO,ZONA25,false
P168,CLI-394,2026-02-10,PENDIENTE,ZONA3,false
P169,CLI-455,2026-02-03,CONFIRMADO,ZONA5,true
P170,CLI-398,2026-01-25,PENDIENTE,ZONA26,false
P171,CLI-284,2026-02-15,CONFIRMADO,ZONA17,true
P172,CLI-425,2026-02-18,PENDIENTE,ZONA14,false
P173,CLI-307,2026-02-28,CONFIRMADO,ZONA10,false
P174,CLI-078,2026-02-16,ENTREGADO,ZONA30,false
P175,CLI-324,2026-02-18,CONFIRMADO,ZONA28,false
P176,CLI-459,2026-02-02,ENTREGADO,ZONA7,false
P177,CLI-147,2026-02-16,ENTREGADO,ZONA12,false
P178,CLI-320,2026-01-25,CONFIRMADO,ZONA22,false
P179,CLI-385,2026-02-17,CONFIRMADO,ZONA23,false
P180,CLI-160,2026-02-04,ENTREGADO,ZONA21,false
P181,CLI-043,2026-01-21,CONFIRMADO,ZONA15,false
P182,CLI-225,2026-02-03,CONFIRMADO,ZONA30,false
P183,CLI-249,2026-01-31,PENDIENTE,ZONA28,false
P184,CLI-252,2026-02-25,ENTREGADO,ZONA2,true
P185,CLI-459,2026-02-17,ENTREGADO,ZONA3,true
P186,CLI-282,2026-02-12,PENDIENTE,ZONA19,false
P187,CLI-491,2026-02-06,ENTREGADO,ZONA19,true
P188,CLI-012,2026-02-27,PENDIENTE,ZONA21,true
P189,CLI-288,2026-02-09,ENTREGADO,ZONA18,false
P190,CLI-182,2026-01-28,CONFIRMADO,ZONA12,true
P191,CLI-082,2026-02-15,CONFIRMADO,ZONA7,true
P192,CLI-385,2026-02-18,ENTREGADO,ZONA14,false
P193,CLI-381,2026-02-02,CONFIRMADO,ZONA24,false
P194,CLI-122,2026-01-27,ENTREGADO,ZONA2,true
P195,CLI-328,2026-01-24,PENDIENTE,ZONA24,false
P196,CLI-164,2026-02-07,CONFIRMADO,ZONA8,true
P197,CLI-187,2026-02-28,ENTREGADO,ZONA16,false
P198,CLI-128,2026-01-28,CONFIRMADO,ZONA27,false
P199,CLI-092,2026-01-22,ENTREGADO,ZONA12,false
P200,CLI-290,2026-02-11,ENTREGADO,ZONA4,true
P201,CLI-432,2026-01-27,ENTREGADO,ZONA6,false
P202,CLI-476,2026-02-09,CONFIRMADO,ZONA13,false
P203,CLI-410,2026-01-29,PENDIENTE,ZONA26,true
P204,CLI-134,2026-02-08,PENDIENTE,ZONA12,false
P205,CLI-099,2026-02-23,ENTREGADO,ZONA17,false
P206,CLI-183,2026-02-03,CONFIRMADO,ZONA6,false
P207,CLI-286,2026-02-26,CONFIRMADO,ZONA13,false
P208,CLI-025,2026-02-11,PENDIENTE,ZONA26,false
P209,CLI-202,2026-02-15,PENDIENTE,ZONA6,false
P210,CLI-273,2026-01-29,CONFIRMADO,ZONA13,true
P211,CLI-470,2026-02-28,PENDIENTE,ZONA28,true
P212,CLI-418,2026-02-28,ENTREGADO,ZONA30,false
P213,CLI-044,2026-02-27,CONFIRMADO,ZONA11,false
P214,CLI-155,2026-02-21,ENTREGADO,ZONA16,true
P215,CLI-320,2026-02-13,PENDIENTE,ZONA19,true
P216,CLI-471,2026-02-05,PENDIENTE,ZONA10,false
P217,CLI-290,2026-02-06,ENTREGADO,ZONA11,false
P218,CLI-225,2026-02-11,PENDIENTE,ZONA18,true
P219,CLI-446,2026-02-10,CONFIRMADO,ZONA7,false
P220,CLI-373,2026-02-17,ENTREGADO,ZONA13,false
P221,CLI-199,2026-02-21,ENTREGADO,ZONA7,false
P222,CLI-328,2026-02-03,ENTREGADO,ZONA1,false
P223,CLI-430,2026-02-07,PENDIENTE,ZONA14,true
P224,CLI-437,2026-02-27,CONFIRMADO,ZONA20,false
P225,CLI-379,2026-02-27,PENDIENTE,ZONA12,false
P226,CLI-073,2026-02-20,ENTREGADO,ZONA26,false
P227,CLI-182,2026-02-11,ENTREGADO,ZONA14,false
P228,CLI-485,2026-02-09,PENDIENTE,ZONA22,false
P229,CLI-401,2026-02-07,ENTREGADO,ZONA20,true
P230,CLI-270,2026-02-16,ENTREGADO,ZONA24,true
P231,CLI-454,2026-02-11,CONFIRMADO,ZONA1,false
P232,CLI-225,2026-02-27,PENDIENTE,ZONA2,false
P233,CLI-165,2026-02-09,PENDIENTE,ZONA26,true
P234,CLI-232,2026-02-26,PENDIENTE,ZONA16,false
P235,CLI-360,2026-02-13,ENTREGADO,ZONA9,true
P236,CLI-023,2026-01-25,PENDIENTE,ZONA29,false
P237,CLI-329,2026-01-27,CONFIRMADO,ZONA14,false
P238,CLI-449,2026-02-18,CONFIRMADO,ZONA23,false
P239,CLI-466,2026-02-13,ENTREGADO,ZONA26,false
P240,CLI-130,2026-02-09,ENTREGADO,ZONA18,false
P241,CLI-438,2026-01-31,CONFIRMADO,ZONA27,true
P242,CLI-047,2026-02-26,ENTREGADO,ZONA2,false
P243,CLI-472,2026-01-27,ENTREGADO,ZONA7,false
P244,CLI-284,2026-02-06,ENTREGADO,ZONA24,false
P245,CLI-287,2026-02-09,PENDIENTE,ZONA16,true
P246,CLI-471,2026-01-30,PENDIENTE,ZONA20,true
P247,CLI-246,2026-01-29,PENDIENTE,ZONA5,true
P248,CLI-450,2026-02-12,ENTREGADO,ZONA12,false
P249,CLI-493,2026-02-15,PENDIENTE,ZONA12,false
P250,CLI-298,2026-02-07,CONFIRMADO,ZONA15,false
P251,CLI-206,2026-02-07,CONFIRMADO,ZONA3,false
P252,CLI-383,2026-02-02,CONFIRMADO,ZONA16,true
P253,CLI-484,2026-01-25,PENDIENTE,ZONA2,false
P254,CLI-250,2026-02-24,PENDIENTE,ZONA9,true
P255,CLI-001,2026-02-14,PENDIENTE,ZONA11,true
P256,CLI-301,2026-01-24,PENDIENTE,ZONA22,true
P257,CLI-369,2026-02-04,CONFIRMADO,ZONA19,false
P258,CLI-402,2026-01-25,CONFIRMADO,ZONA23,false
P259,CLI-142,2026-02-23,CONFIRMADO,ZONA8,false
P260,CLI-280,2026-02-05,PENDIENTE,ZONA26,false
P261,CLI-200,2026-02-27,CONFIRMADO,ZONA15,false
P262,CLI-247,2026-01-24,CONFIRMADO,ZONA14,false
P263,CLI-442,2026-02-08,CONFIRMADO,ZONA29,false
P264,CLI-178,2026-02-20,ENTREGADO,ZONA19,false
P265,CLI-156,2026-03-01,ENTREGADO,ZONA14,true
P266,CLI-255,2026-02-05,ENTREGADO,ZONA30,false
P267,CLI-160,2026-02-17,CONFIRMADO,ZONA7,false
P268,CLI-078,2026-02-23,PENDIENTE,ZONA2,false
P269,CLI-434,2026-02-21,ENTREGADO,ZONA2,false
P270,CLI-135,2026-02-06,PENDIENTE,ZONA19,false
P271,CLI-437,2026-02-08,PENDIENTE,ZONA23,false
P272,CLI-124,2026-01-30,CONFIRMADO,ZONA30,true
P273,CLI-158,2026-02-13,CONFIRMADO,ZONA14,true
P274,CLI-306,2026-02-24,CONFIRMADO,ZONA21,true
P275,CLI-424,2026-02-13,ENTREGADO,ZONA28,false
P276,CLI-395,2026-02-09,ENTREGADO,ZONA10,true
P277,CLI-118,2026-01-22,PENDIENTE,ZONA1,false
P278,CLI-390,2026-01-21,ENTREGADO,ZONA18,false
P279,CLI-462,2026-02-22,CONFIRMADO,ZONA2,false
P280,CLI-109,2026-02-09,CONFIRMADO,ZONA27,false
P281,CLI-383,2026-02-13,CONFIRMADO,ZONA2,false
P282,CLI-343,2026-01-26,ENTREGADO,ZONA20,true
P283,CLI-455,2026-02-25,PENDIENTE,ZONA26,false
P284,CLI-019,2026-02-08,ENTREGADO,ZONA3,true
P285,CLI-455,2026-02-21,CONFIRMADO,ZONA13,false
P286,CLI-005,2026-02-06,ENTREGADO,ZONA2,false
P287,CLI-343,2026-02-16,ENTREGADO,ZONA21,true
P288,CLI-056,2026-02-18,ENTREGADO,ZONA5,false
P289,CLI-036,2026-01-29,CONFIRMADO,ZONA17,true
P290,CLI-490,2026-02-06,ENTREGADO,ZONA13,false
P291,CLI-187,2026-02-07,ENTREGADO,ZONA28,true
P292,CLI-416,2026-01-21,CONFIRMADO,ZONA16,false
P293,CLI-429,2026-01-26,PENDIENTE,ZONA25,false
P294,CLI-337,2026-02-16,CONFIRMADO,ZONA24,false
P295,CLI-098,2026-02-11,CONFIRMADO,ZONA10,false
P296,CLI-473,2026-01-29,ENTREGADO,ZONA3,true
P297,CLI-493,2026-01-24,CONFIRMADO,ZONA13,false
P298,CLI-451,2026-01-31,PENDIENTE,ZONA18,true
P299,CLI-050,2026-02-09,CONFIRMADO,ZONA16,true
P300,CLI-046,2026-01-31,PENDIENTE,ZONA12,false
P301,CLI-144,2026-02-11,PENDIENTE,ZONA22,true
P302,CLI-429,2026-02-25,CONFIRMADO,ZONA21,true
P303,CLI-278,2026-02-22,CONFIRMADO,ZONA11,false
P304,CLI-251,2026-01-31,CONFIRMADO,ZONA22,false
P305,CLI-035,2026-01-28,CONFIRMADO,ZONA1,false
P306,CLI-455,2026-02-19,PENDIENTE,ZONA13,true
P307,CLI-002,2026-01-26,ENTREGADO,ZONA23,false
P308,CLI-292,2026-01-27,CONFIRMADO,ZONA20,true
P309,CLI-200,2026-02-18,ENTREGADO,ZONA13,false
P310,CLI-168,2026-02-24,ENTREGADO,ZONA21,false
P311,CLI-134,2026-01-25,ENTREGADO,ZONA19,false
P312,CLI-370,2026-02-25,ENTREGADO,ZONA30,false
P313,CLI-362,2026-02-24,CONFIRMADO,ZONA16,false
P314,CLI-175,2026-02-11,ENTREGADO,ZONA9,true
P315,CLI-106,2026-02-11,PENDIENTE,ZONA12,false
P316,CLI-443,2026-02-25,PENDIENTE,ZONA29,false
P317,CLI-207,2026-02-16,ENTREGADO,ZONA5,false
P318,CLI-045,2026-02-13,PENDIENTE,ZONA14,false
P319,CLI-009,2026-02-01,PENDIENTE,ZONA15,false
P320,CLI-429,2026-01-28,ENTREGADO,ZONA28,false
P321,CLI-116,2026-01-24,ENTREGADO,ZONA16,true
P322,CLI-474,2026-02-12,ENTREGADO,ZONA17,false
P323,CLI-068,2026-01-26,CONFIRMADO,ZONA6,true
P324,CLI-160,2026-02-11,PENDIENTE,ZONA16,true
P325,CLI-420,2026-01-27,CONFIRMADO,ZONA20,false
P326,CLI-047,2026-02-15,CONFIRMADO,ZONA27,false
P327,CLI-041,2026-02-05,CONFIRMADO,ZONA17,false
P328,CLI-428,2026-01-28,PENDIENTE,ZONA29,false
P329,CLI-117,2026-01-26,PENDIENTE,ZONA12,true
P330,CLI-348,2026-02-27,ENTREGADO,ZONA22,false
P331,CLI-017,2026-02-04,ENTREGADO,ZONA27,true
P332,CLI-012,2026-01-30,CONFIRMADO,ZONA16,false
P333,CLI-141,2026-03-01,PENDIENTE,ZONA13,false
P334,CLI-068,2026-02-20,PENDIENTE,ZONA20,true
P335,CLI-279,2026-01-24,ENTREGADO,ZONA10,true
P336,CLI-005,2026-01-23,PENDIENTE,ZONA24,false
P337,CLI-165,2026-01-25,ENTREGADO,ZONA7,false
P338,CLI-217,2026-02-03,ENTREGADO,ZONA19,true
P339,CLI-325,2026-02-01,CONFIRMADO,ZONA30,false
P340,CLI-130,2026-01-30,CONFIRMADO,ZONA21,false
P341,CLI-238,2026-02-11,ENTREGADO,ZONA11,false
P342,CLI-450,2026-02-21,CONFIRMADO,ZONA13,false
P343,CLI-045,2026-01-31,ENTREGADO,ZONA25,false
P344,CLI-031,2026-03-01,PENDIENTE,ZONA12,true
P345,CLI-450,2026-02-23,CONFIRMADO,ZONA17,false
P346,CLI-029,2026-02-02,ENTREGADO,ZONA27,false
P347,CLI-192,2026-01-24,PENDIENTE,ZONA18,false
P348,CLI-020,2026-02-17,ENTREGADO,ZONA18,false
P349,CLI-379,2026-01-26,ENTREGADO,ZONA20,true
P350,CLI-250,2026-01-24,ENTREGADO,ZONA7,false
P351,CLI-391,2026-02-23,CONFIRMADO,ZONA15,true
P352,CLI-034,2026-01-29,PENDIENTE,ZONA22,false
P353,CLI-312,2026-02-24,PENDIENTE,ZONA16,false
P354,CLI-055,2026-03-01,PENDIENTE,ZONA27,true
P355,CLI-184,2026-02-03,PENDIENTE,ZONA25,false
P356,CLI-482,2026-02-24,PENDIENTE,ZONA26,false
P357,CLI-152,2026-02-08,CONFIRMADO,ZONA27,false
P358,CLI-237,2026-02-28,PENDIENTE,ZONA12,false
P359,CLI-060,2026-01-28,PENDIENTE,ZONA16,false
P360,CLI-303,2026-02-21,PENDIENTE,ZONA25,true
P361,CLI-434,2026-02-23,PENDIENTE,ZONA16,false
P362,CLI-081,2026-02-07,CONFIRMADO,ZONA17,false
P363,CLI-277,2026-01-22,CONFIRMADO,ZONA15,false
P364,CLI-495,2026-01-25,PENDIENTE,ZONA13,false
P365,CLI-310,2026-02-02,PENDIENTE,ZONA7,true
P366,CLI-358,2026-01-29,PENDIENTE,ZONA30,false
P367,CLI-415,2026-02-19,ENTREGADO,ZONA19,false
P368,CLI-435,2026-01-25,CONFIRMADO,ZONA4,false
P369,CLI-107,2026-01-28,ENTREGADO,ZONA28,false
P370,CLI-171,2026-02-02,CONFIRMADO,ZONA22,false
P371,CLI-115,2026-02-13,PENDIENTE,ZONA22,false
P372,CLI-079,2026-02-21,CONFIRMADO,ZONA22,true
P373,CLI-309,2026-02-08,PENDIENTE,ZONA26,false
P374,CLI-100,2026-01-27,ENTREGADO,ZONA23,true
P375,CLI-315,2026-01-28,CONFIRMADO,ZONA26,false
P376,CLI-091,2026-01-21,PENDIENTE,ZONA22,true
P377,CLI-187,2026-02-13,CONFIRMADO,ZONA20,false
P378,CLI-343,2026-02-05,CONFIRMADO,ZONA1,true
P379,CLI-203,2026-02-01,ENTREGADO,ZONA27,false
P380,CLI-466,2026-02-01,CONFIRMADO,ZONA20,true
P381,CLI-304,2026-02-18,CONFIRMADO,ZONA4,false
P382,CLI-080,2026-02-01,CONFIRMADO,ZONA25,false
P383,CLI-470,2026-02-20,CONFIRMADO,ZONA22,false
P384,CLI-490,2026-03-01,ENTREGADO,ZONA19,false
P385,CLI-222,2026-02-13,CONFIRMADO,ZONA13,false
P386,CLI-443,2026-02-20,PENDIENTE,ZONA24,false
P387,CLI-038,2026-02-20,ENTREGADO,ZONA19,false
P388,CLI-444,2026-02-21,ENTREGADO,ZONA25,false
P389,CLI-036,2026-02-23,ENTREGADO,ZONA21,false
P390,CLI-420,2026-02-13,CONFIRMADO,ZONA21,false
P391,CLI-068,2026-02-03,PENDIENTE,ZONA27,true
P392,CLI-166,2026-02-27,CONFIRMADO,ZONA13,false
P393,CLI-331,2026-01-24,ENTREGADO,ZONA27,false
P394,CLI-215,2026-01-25,CONFIRMADO,ZONA16,false
P395,CLI-196,2026-02-28,ENTREGADO,ZONA22,false
P396,CLI-258,2026-02-27,ENTREGADO,ZONA30,false
P397,CLI-435,2026-01-28,CONFIRMADO,ZONA22,false
P398,CLI-079,2026-02-26,CONFIRMADO,ZONA1,true
P399,CLI-276,2026-02-10,ENTREGADO,ZONA16,false
P400,CLI-155,2026-02-25,PENDIENTE,ZONA23,false
P401,CLI-489,2026-01-26,ENTREGADO,ZONA9,false
P402,CLI-041,2026-02-09,PENDIENTE,ZONA14,true
P403,CLI-183,2026-02-20,ENTREGADO,ZONA17,false
P404,CLI-169,2026-02-26,CONFIRMADO,ZONA28,false
P405,CLI-405,2026-02-03,ENTREGADO,ZONA20,false
P406,CLI-322,2026-01-30,PENDIENTE,ZONA21,false
P407,CLI-461,2026-01-23,PENDIENTE,ZONA15,true
P408,CLI-316,2026-02-17,CONFIRMADO,ZONA2,false
P409,CLI-495,2026-02-22,PENDIENTE,ZONA26,false
P410,CLI-381,2026-02-23,PENDIENTE,ZONA6,false
P411,CLI-021,2026-02-03,PENDIENTE,ZONA23,false
P412,CLI-133,2026-02-04,PENDIENTE,ZONA2,true
P413,CLI-016,2026-02-05,ENTREGADO,ZONA2,false
P414,CLI-095,2026-01-27,ENTREGADO,ZONA27,false
P415,CLI-349,2026-01-23,CONFIRMADO,ZONA30,false
P416,CLI-122,2026-02-21,PENDIENTE,ZONA11,true
P417,CLI-266,2026-02-22,ENTREGADO,ZONA19,false
P418,CLI-413,2026-02-24,ENTREGADO,ZONA18,false
P419,CLI-469,2026-01-27,PENDIENTE,ZONA19,true
P420,CLI-168,2026-02-15,PENDIENTE,ZONA1,false
P421,CLI-169,2026-01-31,CONFIRMADO,ZONA6,false
P422,CLI-277,2026-01-30,PENDIENTE,ZONA7,false
P423,CLI-377,2026-02-13,CONFIRMADO,ZONA6,true
P424,CLI-375,2026-01-24,PENDIENTE,ZONA9,false
P425,CLI-200,2026-01-23,PENDIENTE,ZONA9,false
P426,CLI-223,2026-02-08,CONFIRMADO,ZONA7,true
P427,CLI-331,2026-01-29,CONFIRMADO,ZONA20,false
P428,CLI-439,2026-02-06,ENTREGADO,ZONA24,true
P429,CLI-287,2026-01-31,CONFIRMADO,ZONA28,true
P430,CLI-123,2026-02-02,PENDIENTE,ZONA20,false
